pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
22662,John Jack Conger,M,21,193,80,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
22973,Katherine Sarah Kat Copeland,F,21,172,58,GBR,2012,London,Rowing,Rowing Women's Lightweight Double Sculls
23040,Kevin Cordes,M,22,196,88,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay
23137,Jos de Jess Corona Rodrguez,M,30,188,83,MEX,2012,London,Football,Football Men's Football
23206,Javier Corts Granados,M,23,171,70,MEX,2012,London,Football,Football Men's Football
23497,DeMarcus Amir Cousins,M,25,210,122,USA,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball
23519,Alicia Jayne Coutts,F,24,176,69,AUS,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
23657,Kameryn Louise Kami Craig,F,25,181,88,USA,2012,London,Water Polo,Water Polo Women's Water Polo
23657,Kameryn Louise Kami Craig,F,29,181,88,USA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo
23703,Sal Craviotto Rivero,M,31,192,98,ESP,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
23820,Sebastian Eduardo Crismanich,M,25,183,79,ARG,2012,London,Taekwondo,Taekwondo Men's Welterweight
23974,Ryan Crouser,M,23,201,125,USA,2016,Rio de Janeiro,Athletics,Athletics Men's Shot Put
23988,Kimberley Kim Crow-Brennan,F,30,188,74,AUS,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls
24125,Tamara Csipes,F,26,176,78,HUN,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
24247,Milo uk,M,25,191,91,SRB,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo
24264,Chay Crista Kerio Cullen,F,30,182,74,GBR,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey
24768,Sara Ilonka Dbritz,F,21,171,59,GER,2016,Rio de Janeiro,Football,Football Women's Football
24942,Ro Masivesi Dakuwaqa,M,22,190,105,FIJ,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens
